,Meta Data,Technical Analysis: EMA
2017-09-05,,{'EMA': '68.1253'}
2017-09-01,,{'EMA': '68.0849'}
2017-08-31,,{'EMA': '67.9125'}
2017-08-30,,{'EMA': '67.7864'}
2017-08-29,,{'EMA': '67.7429'}
2017-08-28,,{'EMA': '67.7661'}
2017-08-25,,{'EMA': '67.7160'}
2017-08-24,,{'EMA': '67.6795'}
2017-08-23,,{'EMA': '67.6506'}
2017-08-22,,{'EMA': '67.5983'}
2017-08-21,,{'EMA': '67.5977'}
2017-08-18,,{'EMA': '67.5858'}
2017-08-17,,{'EMA': '67.5915'}
2017-08-16,,{'EMA': '67.4753'}
2017-08-15,,{'EMA': '67.3699'}
2017-08-14,,{'EMA': '67.2306'}
2017-08-11,,{'EMA': '67.1631'}
2017-08-10,,{'EMA': '67.2236'}
2017-08-09,,{'EMA': '67.2632'}
2017-08-08,,{'EMA': '67.2742'}
2017-08-07,,{'EMA': '67.3012'}
2017-08-04,,{'EMA': '67.2649'}
2017-08-03,,{'EMA': '67.2621'}
2017-08-02,,{'EMA': '67.2786'}
2017-08-01,,{'EMA': '67.2633'}
2017-07-31,,{'EMA': '67.1953'}
2017-07-28,,{'EMA': '67.1019'}
2017-07-27,,{'EMA': '67.0578'}
2017-07-26,,{'EMA': '66.9079'}
2017-07-25,,{'EMA': '66.6892'}
2017-07-24,,{'EMA': '66.4987'}
2017-07-21,,{'EMA': '66.3143'}
2017-07-20,,{'EMA': '66.1189'}
2017-07-19,,{'EMA': '65.8361'}
2017-07-18,,{'EMA': '65.5883'}
2017-07-17,,{'EMA': '65.3537'}
2017-07-14,,{'EMA': '65.1227'}
2017-07-13,,{'EMA': '64.9205'}
2017-07-12,,{'EMA': '64.7670'}
2017-07-11,,{'EMA': '64.6734'}
2017-07-10,,{'EMA': '64.6346'}
2017-07-07,,{'EMA': '64.6421'}
2017-07-06,,{'EMA': '64.7209'}
2017-07-05,,{'EMA': '64.8476'}
2017-07-03,,{'EMA': '64.9884'}
2017-06-30,,{'EMA': '65.0433'}
2017-06-29,,{'EMA': '65.1549'}
2017-06-28,,{'EMA': '65.2218'}
2017-06-27,,{'EMA': '65.3113'}
2017-06-26,,{'EMA': '65.3260'}
2017-06-23,,{'EMA': '65.2223'}
2017-06-22,,{'EMA': '65.2300'}
2017-06-21,,{'EMA': '65.1966'}
2017-06-20,,{'EMA': '65.1906'}
2017-06-19,,{'EMA': '65.1273'}
2017-06-16,,{'EMA': '65.0874'}
2017-06-15,,{'EMA': '65.1150'}
2017-06-14,,{'EMA': '65.1882'}
2017-06-13,,{'EMA': '65.1163'}
2017-06-12,,{'EMA': '65.1199'}
2017-06-09,,{'EMA': '65.1954'}
2017-06-08,,{'EMA': '65.0196'}
2017-06-07,,{'EMA': '64.7821'}
2017-06-06,,{'EMA': '64.5092'}
2017-06-05,,{'EMA': '64.2402'}
2017-06-02,,{'EMA': '63.9750'}
2017-06-01,,{'EMA': '63.8254'}
2017-05-31,,{'EMA': '63.6795'}
2017-05-30,,{'EMA': '63.4920'}
2017-05-26,,{'EMA': '63.3545'}
2017-05-25,,{'EMA': '63.2024'}
2017-05-24,,{'EMA': '63.1122'}
2017-05-23,,{'EMA': '63.0223'}
2017-05-22,,{'EMA': '62.9373'}
2017-05-19,,{'EMA': '62.9209'}
2017-05-18,,{'EMA': '62.9392'}
2017-05-17,,{'EMA': '62.9686'}
2017-05-16,,{'EMA': '62.8625'}
2017-05-15,,{'EMA': '62.8071'}
2017-05-12,,{'EMA': '62.7899'}
2017-05-11,,{'EMA': '62.7275'}
2017-05-10,,{'EMA': '62.6820'}
2017-05-09,,{'EMA': '62.5738'}
2017-05-08,,{'EMA': '62.4667'}
2017-05-05,,{'EMA': '62.3387'}
2017-05-04,,{'EMA': '62.2045'}
2017-05-03,,{'EMA': '62.0447'}
2017-05-02,,{'EMA': '61.8367'}
2017-05-01,,{'EMA': '61.5774'}
2017-04-28,,{'EMA': '61.3873'}
2017-04-27,,{'EMA': '61.1569'}
2017-04-26,,{'EMA': '60.9738'}
2017-04-25,,{'EMA': '60.7788'}
2017-04-24,,{'EMA': '60.5810'}
2017-04-21,,{'EMA': '60.4021'}
2017-04-20,,{'EMA': '60.3727'}
2017-04-19,,{'EMA': '60.3598'}
2017-04-18,,{'EMA': '60.3280'}
2017-04-17,,{'EMA': '60.3226'}
2017-04-13,,{'EMA': '60.3435'}
2017-04-12,,{'EMA': '60.3434'}
2017-04-11,,{'EMA': '60.3312'}
2017-04-10,,{'EMA': '60.3012'}
2017-04-07,,{'EMA': '60.2672'}
2017-04-06,,{'EMA': '60.2077'}
2017-04-05,,{'EMA': '60.1653'}
2017-04-04,,{'EMA': '60.0540'}
2017-04-03,,{'EMA': '60.0156'}
2017-03-31,,{'EMA': '59.9346'}
2017-03-30,,{'EMA': '59.8603'}
2017-03-29,,{'EMA': '59.7999'}
2017-03-28,,{'EMA': '59.7611'}
2017-03-27,,{'EMA': '59.7332'}
2017-03-24,,{'EMA': '59.7330'}
2017-03-23,,{'EMA': '59.6654'}
2017-03-22,,{'EMA': '59.6297'}
2017-03-21,,{'EMA': '59.6664'}
2017-03-20,,{'EMA': '59.6077'}
2017-03-17,,{'EMA': '59.5691'}
2017-03-16,,{'EMA': '59.5267'}
2017-03-15,,{'EMA': '59.4948'}
2017-03-14,,{'EMA': '59.4782'}
2017-03-13,,{'EMA': '59.4617'}
2017-03-10,,{'EMA': '59.3993'}
2017-03-09,,{'EMA': '59.3213'}
2017-03-08,,{'EMA': '59.2282'}
2017-03-07,,{'EMA': '59.2118'}
2017-03-06,,{'EMA': '59.2001'}
2017-03-03,,{'EMA': '59.2076'}
2017-03-02,,{'EMA': '59.2140'}
2017-03-01,,{'EMA': '59.1564'}
2017-02-28,,{'EMA': '59.1448'}
2017-02-27,,{'EMA': '59.1366'}
2017-02-24,,{'EMA': '59.0851'}
2017-02-23,,{'EMA': '59.0293'}
2017-02-22,,{'EMA': '58.9782'}
2017-02-21,,{'EMA': '58.9302'}
2017-02-17,,{'EMA': '58.8516'}
2017-02-16,,{'EMA': '58.7781'}
2017-02-15,,{'EMA': '58.6722'}
2017-02-14,,{'EMA': '58.5780'}
2017-02-13,,{'EMA': '58.4826'}
2017-02-10,,{'EMA': '58.4290'}
2017-02-09,,{'EMA': '58.3692'}
2017-02-08,,{'EMA': '58.3705'}
2017-02-07,,{'EMA': '58.3673'}
2017-02-06,,{'EMA': '58.3482'}
2017-02-03,,{'EMA': '58.3492'}
2017-02-02,,{'EMA': '58.3503'}
2017-02-01,,{'EMA': '58.3745'}
2017-01-31,,{'EMA': '58.2995'}
2017-01-30,,{'EMA': '58.1707'}
2017-01-27,,{'EMA': '57.9528'}
2017-01-26,,{'EMA': '57.7406'}
2017-01-25,,{'EMA': '57.6239'}
2017-01-24,,{'EMA': '57.5111'}
2017-01-23,,{'EMA': '57.4560'}
2017-01-20,,{'EMA': '57.4413'}
2017-01-19,,{'EMA': '57.4278'}
2017-01-18,,{'EMA': '57.4526'}
2017-01-17,,{'EMA': '57.4402'}
2017-01-13,,{'EMA': '57.4258'}
2017-01-12,,{'EMA': '57.4154'}
2017-01-11,,{'EMA': '57.3635'}
2017-01-10,,{'EMA': '57.3478'}
2017-01-09,,{'EMA': '57.3196'}
2017-01-06,,{'EMA': '57.2857'}
2017-01-05,,{'EMA': '57.2907'}
2017-01-04,,{'EMA': '57.3063'}
2017-01-03,,{'EMA': '57.2968'}
2016-12-30,,{'EMA': '57.2579'}
2016-12-29,,{'EMA': '57.1995'}
2016-12-28,,{'EMA': '57.1444'}
2016-12-27,,{'EMA': '57.0342'}
2016-12-23,,{'EMA': '56.9305'}
2016-12-22,,{'EMA': '56.7943'}
2016-12-21,,{'EMA': '56.6087'}
2016-12-20,,{'EMA': '56.4422'}
2016-12-19,,{'EMA': '56.2351'}
2016-12-16,,{'EMA': '56.1112'}
2016-12-15,,{'EMA': '55.9390'}
2016-12-14,,{'EMA': '55.7726'}
2016-12-13,,{'EMA': '55.5620'}
2016-12-12,,{'EMA': '55.3762'}
2016-12-09,,{'EMA': '55.2344'}
2016-12-08,,{'EMA': '55.1371'}
2016-12-07,,{'EMA': '55.0191'}
2016-12-06,,{'EMA': '55.0079'}
2016-12-05,,{'EMA': '54.9569'}
2016-12-02,,{'EMA': '54.9679'}
2016-12-01,,{'EMA': '55.0369'}
2016-11-30,,{'EMA': '55.0182'}
2016-11-29,,{'EMA': '54.9288'}
2016-11-28,,{'EMA': '54.8496'}
2016-11-25,,{'EMA': '54.7911'}
2016-11-23,,{'EMA': '54.7304'}
2016-11-22,,{'EMA': '54.5984'}
2016-11-21,,{'EMA': '54.4559'}
2016-11-18,,{'EMA': '54.3433'}
2016-11-17,,{'EMA': '54.1937'}
2016-11-16,,{'EMA': '54.0631'}
2016-11-15,,{'EMA': '54.0546'}
2016-11-14,,{'EMA': '54.1012'}
2016-11-11,,{'EMA': '54.1248'}
2016-11-10,,{'EMA': '54.2228'}
2016-11-09,,{'EMA': '54.1253'}
2016-11-08,,{'EMA': '54.0618'}
2016-11-07,,{'EMA': '53.9418'}
2016-11-04,,{'EMA': '53.8801'}
2016-11-03,,{'EMA': '53.9153'}
2016-11-02,,{'EMA': '53.8737'}
2016-11-01,,{'EMA': '53.8015'}
2016-10-31,,{'EMA': '53.7084'}
2016-10-28,,{'EMA': '53.5887'}
2016-10-27,,{'EMA': '53.4707'}
2016-10-26,,{'EMA': '53.2861'}
2016-10-25,,{'EMA': '53.0648'}
2016-10-24,,{'EMA': '52.8177'}
2016-10-21,,{'EMA': '52.6289'}
2016-10-20,,{'EMA': '52.3903'}
2016-10-19,,{'EMA': '52.3815'}
2016-10-18,,{'EMA': '52.3745'}
2016-10-17,,{'EMA': '52.3614'}
2016-10-14,,{'EMA': '52.3625'}
2016-10-13,,{'EMA': '52.3856'}
2016-10-12,,{'EMA': '52.4494'}
2016-10-11,,{'EMA': '52.4821'}
2016-10-10,,{'EMA': '52.4469'}
2016-10-07,,{'EMA': '52.4063'}
2016-10-06,,{'EMA': '52.3672'}
2016-10-05,,{'EMA': '52.3342'}
2016-10-04,,{'EMA': '52.3389'}
2016-10-03,,{'EMA': '52.3460'}
2016-09-30,,{'EMA': '52.3414'}
2016-09-29,,{'EMA': '52.3214'}
2016-09-28,,{'EMA': '52.2774'}
2016-09-27,,{'EMA': '52.2226'}
2016-09-26,,{'EMA': '52.2491'}
2016-09-23,,{'EMA': '52.2645'}
2016-09-22,,{'EMA': '52.2094'}
2016-09-21,,{'EMA': '52.1441'}
2016-09-20,,{'EMA': '52.1098'}
2016-09-19,,{'EMA': '52.0867'}
2016-09-16,,{'EMA': '52.0685'}
2016-09-15,,{'EMA': '52.0157'}
2016-09-14,,{'EMA': '52.0926'}
2016-09-13,,{'EMA': '52.1553'}
2016-09-12,,{'EMA': '52.2143'}
2016-09-09,,{'EMA': '52.3248'}
2016-09-08,,{'EMA': '52.3743'}
2016-09-07,,{'EMA': '52.3520'}
2016-09-06,,{'EMA': '52.3421'}
2016-09-02,,{'EMA': '52.3030'}
2016-09-01,,{'EMA': '52.2699'}
2016-08-31,,{'EMA': '52.2938'}
2016-08-30,,{'EMA': '52.2617'}
2016-08-29,,{'EMA': '52.1962'}
2016-08-26,,{'EMA': '52.1060'}
2016-08-25,,{'EMA': '51.9976'}
2016-08-24,,{'EMA': '51.9148'}
2016-08-23,,{'EMA': '51.8311'}
2016-08-22,,{'EMA': '51.7299'}
2016-08-19,,{'EMA': '51.6459'}
2016-08-18,,{'EMA': '51.5691'}
2016-08-17,,{'EMA': '51.4855'}
2016-08-16,,{'EMA': '51.3825'}
2016-08-15,,{'EMA': '51.2629'}
2016-08-12,,{'EMA': '51.1278'}
2016-08-11,,{'EMA': '50.9774'}
2016-08-10,,{'EMA': '50.8119'}
2016-08-09,,{'EMA': '50.6181'}
2016-08-08,,{'EMA': '50.4040'}
2016-08-05,,{'EMA': '50.1790'}
2016-08-04,,{'EMA': '49.9681'}
2016-08-03,,{'EMA': '49.8133'}
2016-08-02,,{'EMA': '49.6539'}
2016-08-01,,{'EMA': '49.4631'}
2016-07-29,,{'EMA': '49.2759'}
2016-07-28,,{'EMA': '49.1008'}
2016-07-27,,{'EMA': '48.9318'}
2016-07-26,,{'EMA': '48.6905'}
2016-07-25,,{'EMA': '48.4333'}
2016-07-22,,{'EMA': '48.1549'}
2016-07-21,,{'EMA': '47.8841'}
2016-07-20,,{'EMA': '47.5952'}
2016-07-19,,{'EMA': '47.2620'}
2016-07-18,,{'EMA': '47.1168'}
2016-07-15,,{'EMA': '46.9580'}
2016-07-14,,{'EMA': '46.7607'}
2016-07-13,,{'EMA': '46.5536'}
2016-07-12,,{'EMA': '46.3511'}
2016-07-11,,{'EMA': '46.1847'}
2016-07-08,,{'EMA': '46.0415'}
2016-07-07,,{'EMA': '45.9539'}
2016-07-06,,{'EMA': '45.8856'}
2016-07-05,,{'EMA': '45.8685'}
2016-07-01,,{'EMA': '45.8451'}
2016-06-30,,{'EMA': '45.7923'}
2016-06-29,,{'EMA': '45.7713'}
2016-06-28,,{'EMA': '45.8217'}
2016-06-27,,{'EMA': '45.9669'}
2016-06-24,,{'EMA': '46.1103'}
2016-06-23,,{'EMA': '46.2037'}
2016-06-22,,{'EMA': '46.1730'}
2016-06-21,,{'EMA': '46.1575'}
2016-06-20,,{'EMA': '46.2202'}
2016-06-17,,{'EMA': '46.2492'}
2016-06-16,,{'EMA': '46.3021'}
2016-06-15,,{'EMA': '46.4409'}
2016-06-14,,{'EMA': '46.5701'}
2016-06-13,,{'EMA': '46.7012'}
2016-06-10,,{'EMA': '46.8745'}
2016-06-09,,{'EMA': '46.9319'}
2016-06-08,,{'EMA': '46.9087'}
2016-06-07,,{'EMA': '46.8815'}
2016-06-06,,{'EMA': '46.8316'}
2016-06-03,,{'EMA': '46.7994'}
2016-06-02,,{'EMA': '46.7285'}
2016-06-01,,{'EMA': '46.6270'}
2016-05-31,,{'EMA': '46.5335'}
2016-05-27,,{'EMA': '46.4470'}
2016-05-26,,{'EMA': '46.3827'}
2016-05-25,,{'EMA': '46.3110'}
2016-05-24,,{'EMA': '46.2330'}
2016-05-23,,{'EMA': '46.2580'}
2016-05-20,,{'EMA': '46.2944'}
2016-05-19,,{'EMA': '46.3454'}
2016-05-18,,{'EMA': '46.4025'}
2016-05-17,,{'EMA': '46.4643'}
2016-05-16,,{'EMA': '46.4198'}
2016-05-13,,{'EMA': '46.4869'}
2016-05-12,,{'EMA': '46.5031'}
2016-05-11,,{'EMA': '46.5425'}
2016-05-10,,{'EMA': '46.5922'}
2016-05-09,,{'EMA': '46.7189'}
2016-05-06,,{'EMA': '46.8439'}
2016-05-05,,{'EMA': '47.0326'}
2016-05-04,,{'EMA': '47.2448'}
2016-05-03,,{'EMA': '47.4809'}
2016-05-02,,{'EMA': '47.6955'}
2016-04-29,,{'EMA': '47.9623'}
2016-04-28,,{'EMA': '48.3142'}
2016-04-27,,{'EMA': '48.5870'}
2016-04-26,,{'EMA': '48.8096'}
2016-04-25,,{'EMA': '48.9843'}
2016-04-22,,{'EMA': '49.2196'}
2016-04-21,,{'EMA': '49.4667'}
2016-04-20,,{'EMA': '49.3883'}
2016-04-19,,{'EMA': '49.2578'}
2016-04-18,,{'EMA': '49.0837'}
2016-04-15,,{'EMA': '48.9949'}
2016-04-14,,{'EMA': '48.9143'}
2016-04-13,,{'EMA': '48.8328'}
2016-04-12,,{'EMA': '48.7522'}
2016-04-11,,{'EMA': '48.7310'}
2016-04-08,,{'EMA': '48.6970'}
2016-04-07,,{'EMA': '48.6433'}
2016-04-06,,{'EMA': '48.5662'}
2016-04-05,,{'EMA': '48.5274'}
2016-04-04,,{'EMA': '48.4099'}
2016-04-01,,{'EMA': '48.2591'}
2016-03-31,,{'EMA': '48.1274'}
2016-03-30,,{'EMA': '47.9916'}
2016-03-29,,{'EMA': '47.8440'}
2016-03-28,,{'EMA': '47.7959'}
2016-03-24,,{'EMA': '47.6936'}
2016-03-23,,{'EMA': '47.6143'}
2016-03-22,,{'EMA': '47.5028'}
2016-03-21,,{'EMA': '47.4252'}
2016-03-18,,{'EMA': '47.3722'}
2016-03-17,,{'EMA': '47.1635'}
2016-03-16,,{'EMA': '46.9979'}
2016-03-15,,{'EMA': '46.8842'}
2016-03-14,,{'EMA': '46.8222'}
2016-03-11,,{'EMA': '46.7576'}
2016-03-10,,{'EMA': '46.6603'}
2016-03-09,,{'EMA': '46.5597'}
2016-03-08,,{'EMA': '46.5426'}
2016-03-07,,{'EMA': '46.6221'}
2016-03-04,,{'EMA': '46.6410'}
2016-03-03,,{'EMA': '46.5861'}
2016-03-02,,{'EMA': '46.4745'}
2016-03-01,,{'EMA': '46.4021'}
2016-02-29,,{'EMA': '46.4521'}
2016-02-26,,{'EMA': '46.4729'}
2016-02-25,,{'EMA': '46.3833'}
2016-02-24,,{'EMA': '46.3630'}
2016-02-23,,{'EMA': '46.4343'}
2016-02-22,,{'EMA': '46.3642'}
2016-02-19,,{'EMA': '46.2925'}
2016-02-18,,{'EMA': '46.2415'}
2016-02-17,,{'EMA': '46.1530'}
2016-02-16,,{'EMA': '46.1313'}
2016-02-12,,{'EMA': '46.1606'}
2016-02-11,,{'EMA': '46.2830'}
2016-02-10,,{'EMA': '46.5581'}
2016-02-09,,{'EMA': '46.7524'}
2016-02-08,,{'EMA': '47.0440'}
2016-02-05,,{'EMA': '47.3173'}
2016-02-04,,{'EMA': '47.4043'}
2016-02-03,,{'EMA': '47.4856'}
2016-02-02,,{'EMA': '47.4722'}
2016-02-01,,{'EMA': '47.3752'}
2016-01-29,,{'EMA': '47.2050'}
2016-01-28,,{'EMA': '47.0313'}
2016-01-27,,{'EMA': '47.0968'}
2016-01-26,,{'EMA': '47.1554'}
2016-01-25,,{'EMA': '47.2395'}
2016-01-22,,{'EMA': '47.3187'}
2016-01-21,,{'EMA': '47.4532'}
2016-01-20,,{'EMA': '47.6378'}
2016-01-19,,{'EMA': '47.9320'}
2016-01-15,,{'EMA': '48.1216'}
2016-01-14,,{'EMA': '48.3453'}
2016-01-13,,{'EMA': '48.5297'}
2016-01-12,,{'EMA': '48.5715'}
2016-01-11,,{'EMA': '48.7105'}
2016-01-08,,{'EMA': '48.8858'}
2016-01-07,,{'EMA': '49.0912'}
2016-01-06,,{'EMA': '49.2875'}
2016-01-05,,{'EMA': '49.3587'}
2016-01-04,,{'EMA': '49.3823'}
2015-12-31,,{'EMA': '49.4630'}
2015-12-30,,{'EMA': '49.3978'}
2015-12-29,,{'EMA': '49.2877'}
2015-12-28,,{'EMA': '49.1827'}
2015-12-24,,{'EMA': '49.1512'}
2015-12-23,,{'EMA': '49.0710'}
2015-12-22,,{'EMA': '48.9971'}
2015-12-21,,{'EMA': '48.9792'}
2015-12-18,,{'EMA': '48.9695'}
2015-12-17,,{'EMA': '48.8791'}
2015-12-16,,{'EMA': '48.7270'}
2015-12-15,,{'EMA': '48.6329'}
2015-12-14,,{'EMA': '48.5188'}
2015-12-11,,{'EMA': '48.5122'}
2015-12-10,,{'EMA': '48.4709'}
2015-12-09,,{'EMA': '48.3646'}
2015-12-08,,{'EMA': '48.2496'}
2015-12-07,,{'EMA': '48.1141'}
2015-12-04,,{'EMA': '47.9364'}
2015-12-03,,{'EMA': '47.8903'}
2015-12-02,,{'EMA': '47.7171'}
2015-12-01,,{'EMA': '47.5417'}
2015-11-30,,{'EMA': '47.4303'}
2015-11-27,,{'EMA': '47.2960'}
2015-11-25,,{'EMA': '47.2145'}
2015-11-24,,{'EMA': '47.0988'}
2015-11-23,,{'EMA': '46.9869'}
2015-11-20,,{'EMA': '46.8342'}
2015-11-19,,{'EMA': '46.6663'}
2015-11-18,,{'EMA': '46.5048'}
2015-11-17,,{'EMA': '46.4157'}
2015-11-16,,{'EMA': '46.3024'}
2015-11-13,,{'EMA': '46.2180'}
2015-11-12,,{'EMA': '46.1260'}
2015-11-11,,{'EMA': '45.9884'}
2015-11-10,,{'EMA': '45.8174'}
2015-11-09,,{'EMA': '45.5966'}
2015-11-06,,{'EMA': '45.3109'}
2015-11-05,,{'EMA': '45.0381'}
2015-11-04,,{'EMA': '44.7020'}
2015-11-03,,{'EMA': '44.3598'}
2015-11-02,,{'EMA': '44.0944'}
2015-10-30,,{'EMA': '43.8095'}
2015-10-29,,{'EMA': '43.4545'}
2015-10-28,,{'EMA': '43.0444'}
2015-10-27,,{'EMA': '42.5933'}
2015-10-26,,{'EMA': '42.0571'}
2015-10-23,,{'EMA': '41.5969'}
2015-10-22,,{'EMA': '41.1112'}
2015-10-21,,{'EMA': '41.0006'}
2015-10-20,,{'EMA': '40.8443'}
2015-10-19,,{'EMA': '40.7150'}
2015-10-16,,{'EMA': '40.5745'}
2015-10-15,,{'EMA': '40.4556'}
2015-10-14,,{'EMA': '40.3256'}
2015-10-13,,{'EMA': '40.2146'}
2015-10-12,,{'EMA': '40.1005'}
2015-10-09,,{'EMA': '39.9376'}
2015-10-08,,{'EMA': '39.7168'}
2015-10-07,,{'EMA': '39.5529'}
2015-10-06,,{'EMA': '39.3246'}
2015-10-05,,{'EMA': '39.1419'}
2015-10-02,,{'EMA': '38.9930'}
2015-10-01,,{'EMA': '38.9601'}
2015-09-30,,{'EMA': '38.8813'}
2015-09-29,,{'EMA': '38.8719'}
2015-09-28,,{'EMA': '38.9069'}
2015-09-25,,{'EMA': '38.9045'}
2015-09-24,,{'EMA': '38.8441'}
2015-09-23,,{'EMA': '38.8692'}
2015-09-22,,{'EMA': '38.8541'}
2015-09-21,,{'EMA': '38.8864'}
2015-09-18,,{'EMA': '38.9006'}
2015-09-17,,{'EMA': '38.9269'}
2015-09-16,,{'EMA': '38.8857'}
2015-09-15,,{'EMA': '38.8687'}
2015-09-14,,{'EMA': '38.9193'}
2015-09-11,,{'EMA': '38.9537'}
2015-09-10,,{'EMA': '39.0173'}
2015-09-09,,{'EMA': '39.0890'}
2015-09-08,,{'EMA': '39.0710'}
2015-09-04,,{'EMA': '39.1321'}
2015-09-03,,{'EMA': '39.2429'}
2015-09-02,,{'EMA': '39.3114'}
2015-09-01,,{'EMA': '39.4907'}
2015-08-31,,{'EMA': '39.6887'}
2015-08-28,,{'EMA': '39.7725'}
2015-08-27,,{'EMA': '39.8887'}
2015-08-26,,{'EMA': '40.0457'}
2015-08-25,,{'EMA': '40.3189'}
2015-08-24,,{'EMA': '40.5700'}
2015-08-21,,{'EMA': '41.0342'}
2015-08-20,,{'EMA': '41.1140'}
2015-08-19,,{'EMA': '41.1333'}
2015-08-18,,{'EMA': '41.0915'}
2015-08-17,,{'EMA': '41.0402'}
2015-08-14,,{'EMA': '41.0136'}
2015-08-13,,{'EMA': '41.0089'}
2015-08-12,,{'EMA': '40.9571'}
2015-08-11,,{'EMA': '40.9768'}
2015-08-10,,{'EMA': '40.9429'}
2015-08-07,,{'EMA': '40.8942'}
2015-08-06,,{'EMA': '40.8900'}
2015-08-05,,{'EMA': '40.7689'}
2015-08-04,,{'EMA': '40.6118'}
2015-08-03,,{'EMA': '40.5476'}
2015-07-31,,{'EMA': '40.4567'}
2015-07-30,,{'EMA': '40.3293'}
2015-07-29,,{'EMA': '40.2801'}
2015-07-28,,{'EMA': '40.3018'}
2015-07-27,,{'EMA': '40.3099'}
2015-07-24,,{'EMA': '40.2869'}
2015-07-23,,{'EMA': '40.2644'}
2015-07-22,,{'EMA': '40.2960'}
2015-07-21,,{'EMA': '40.3158'}
2015-07-20,,{'EMA': '40.2194'}
2015-07-17,,{'EMA': '40.1247'}
2015-07-16,,{'EMA': '40.0295'}
2015-07-15,,{'EMA': '39.9723'}
2015-07-14,,{'EMA': '39.9386'}
2015-07-13,,{'EMA': '39.9217'}
2015-07-10,,{'EMA': '39.9452'}
2015-07-09,,{'EMA': '39.9678'}
2015-07-08,,{'EMA': '40.0157'}
2015-07-07,,{'EMA': '40.0957'}
2015-07-06,,{'EMA': '40.1926'}
2015-07-02,,{'EMA': '40.3326'}
2015-07-01,,{'EMA': '40.4408'}
2015-06-30,,{'EMA': '40.5616'}
2015-06-29,,{'EMA': '40.6724'}
2015-06-26,,{'EMA': '40.7651'}
2015-06-25,,{'EMA': '40.8133'}
2015-06-24,,{'EMA': '40.8328'}
2015-06-23,,{'EMA': '40.8860'}
2015-06-22,,{'EMA': '40.9039'}
2015-06-19,,{'EMA': '40.9059'}
2015-06-18,,{'EMA': '40.8676'}
2015-06-17,,{'EMA': '40.8757'}
2015-06-16,,{'EMA': '40.9279'}
2015-06-15,,{'EMA': '41.0189'}
2015-06-12,,{'EMA': '41.1101'}
2015-06-11,,{'EMA': '41.1425'}
2015-06-10,,{'EMA': '41.1393'}
2015-06-09,,{'EMA': '41.2125'}
2015-06-08,,{'EMA': '41.2957'}
2015-06-05,,{'EMA': '41.3396'}
2015-06-04,,{'EMA': '41.3870'}
2015-06-03,,{'EMA': '41.3968'}
2015-06-02,,{'EMA': '41.3564'}
2015-06-01,,{'EMA': '41.3508'}
2015-05-29,,{'EMA': '41.3331'}
2015-05-28,,{'EMA': '41.2810'}
2015-05-27,,{'EMA': '41.2175'}
2015-05-26,,{'EMA': '41.2077'}
2015-05-22,,{'EMA': '41.1960'}
2015-05-21,,{'EMA': '41.1417'}
2015-05-20,,{'EMA': '41.0837'}
2015-05-19,,{'EMA': '41.0102'}
2015-05-18,,{'EMA': '40.9144'}
2015-05-15,,{'EMA': '40.7993'}
2015-05-14,,{'EMA': '40.5947'}
2015-05-13,,{'EMA': '40.4432'}
2015-05-12,,{'EMA': '40.2626'}
2015-05-11,,{'EMA': '40.1814'}
2015-05-08,,{'EMA': '40.0307'}
2015-05-07,,{'EMA': '39.8649'}
2015-05-06,,{'EMA': '39.7948'}
2015-05-05,,{'EMA': '39.6037'}
2015-05-04,,{'EMA': '39.3716'}
2015-05-01,,{'EMA': '39.0681'}
2015-04-30,,{'EMA': '38.7157'}
2015-04-29,,{'EMA': '38.3177'}
2015-04-28,,{'EMA': '37.8780'}
2015-04-27,,{'EMA': '37.4768'}
2015-04-24,,{'EMA': '37.0838'}
2015-04-23,,{'EMA': '36.7890'}
2015-04-22,,{'EMA': '36.7076'}
2015-04-21,,{'EMA': '36.6374'}
2015-04-20,,{'EMA': '36.5312'}
2015-04-17,,{'EMA': '36.5258'}
2015-04-16,,{'EMA': '36.5251'}
2015-04-15,,{'EMA': '36.4997'}
2015-04-14,,{'EMA': '36.4885'}
2015-04-13,,{'EMA': '36.4726'}
2015-04-10,,{'EMA': '36.4902'}
2015-04-09,,{'EMA': '36.4894'}
2015-04-08,,{'EMA': '36.5219'}
2015-04-07,,{'EMA': '36.5392'}
2015-04-06,,{'EMA': '36.5450'}
2015-04-02,,{'EMA': '36.6628'}
2015-04-01,,{'EMA': '36.7644'}
2015-03-31,,{'EMA': '36.8813'}
2015-03-30,,{'EMA': '36.9941'}
2015-03-27,,{'EMA': '37.0902'}
2015-03-26,,{'EMA': '37.1941'}
2015-03-25,,{'EMA': '37.2997'}
2015-03-24,,{'EMA': '37.2668'}
2015-03-23,,{'EMA': '37.2428'}
2015-03-20,,{'EMA': '37.2077'}
2015-03-19,,{'EMA': '37.1971'}
2015-03-18,,{'EMA': '37.2118'}
2015-03-17,,{'EMA': '37.3007'}
2015-03-16,,{'EMA': '37.4038'}
2015-03-13,,{'EMA': '37.5084'}
2015-03-12,,{'EMA': '37.6909'}
2015-03-11,,{'EMA': '37.8365'}
2015-03-10,,{'EMA': '37.9108'}
2015-03-09,,{'EMA': '37.9889'}
2015-03-06,,{'EMA': '38.0889'}
2015-03-05,,{'EMA': '38.1279'}
2015-03-04,,{'EMA': '38.1646'}
2015-03-03,,{'EMA': '38.2103'}
2015-03-02,,{'EMA': '38.2123'}
